Year,Month,Day,Hour,Temperature
2013.0,11.0,14.0,6.0,9.9
2013.0,11.0,14.0,7.0,10.6
2013.0,11.0,14.0,8.0,11.2
2013.0,11.0,14.0,9.0,11.5
2013.0,11.0,14.0,1.0,12.0
2013.0,11.0,14.0,1.0,12.2
2013.0,11.0,14.0,1.0,12.4
2013.0,11.0,14.0,1.0,12.4
2013.0,11.0,14.0,1.0,12.5
2013.0,11.0,14.0,1.0,12.2
2013.0,11.0,14.0,1.0,11.4
2013.0,11.0,14.0,1.0,10.4
2013.0,11.0,14.0,1.0,10.1
2013.0,11.0,14.0,1.0,9.9
2013.0,11.0,14.0,2.0,9.7
2013.0,11.0,14.0,2.0,9.6
2013.0,11.0,14.0,2.0,9.2
2013.0,11.0,14.0,2.0,9.0
2013.0,11.0,15.0,0.0,8.8
2013.0,11.0,15.0,1.0,7.9
2013.0,11.0,15.0,2.0,7.1
2013.0,11.0,15.0,3.0,7.0
2013.0,11.0,15.0,4.0,7.1
2013.0,11.0,15.0,5.0,7.2
2013.0,11.0,15.0,6.0,7.3
2013.0,11.0,15.0,7.0,7.2
2013.0,11.0,15.0,8.0,7.0
2013.0,11.0,15.0,9.0,7.2
2013.0,11.0,15.0,1.0,7.7
2013.0,11.0,15.0,1.0,7.9
2013.0,11.0,15.0,1.0,8.1
2013.0,11.0,15.0,1.0,8.0
2013.0,11.0,15.0,1.0,8.0
2013.0,11.0,15.0,1.0,8.2
2013.0,11.0,15.0,1.0,8.1
2013.0,11.0,15.0,1.0,8.0
2013.0,11.0,15.0,1.0,8.1
2013.0,11.0,15.0,1.0,8.3
2013.0,11.0,15.0,2.0,8.6
2013.0,11.0,15.0,2.0,8.7
2013.0,11.0,15.0,2.0,8.8
2013.0,11.0,15.0,2.0,8.8
2013.0,11.0,16.0,0.0,8.6
2013.0,11.0,16.0,1.0,8.4
2013.0,11.0,16.0,2.0,8.3
2013.0,11.0,16.0,3.0,7.8
2013.0,11.0,16.0,4.0,6.9
2013.0,11.0,16.0,5.0,6.4
2013.0,11.0,16.0,6.0,6.4
2013.0,11.0,16.0,7.0,6.2
2013.0,11.0,16.0,8.0,5.6
2013.0,11.0,16.0,9.0,7.1
2013.0,11.0,16.0,1.0,9.2
2013.0,11.0,16.0,1.0,10.9
2013.0,11.0,16.0,1.0,12.3
2013.0,11.0,16.0,1.0,13.4
2013.0,11.0,16.0,1.0,13.8
2013.0,11.0,16.0,1.0,13.9
2013.0,11.0,16.0,1.0,13.5
2013.0,11.0,16.0,1.0,11.6
2013.0,11.0,16.0,1.0,9.2
2013.0,11.0,16.0,1.0,8.4
2013.0,11.0,16.0,2.0,8.3
2013.0,11.0,16.0,2.0,7.9
2013.0,11.0,16.0,2.0,8.0
2013.0,11.0,16.0,2.0,8.7
2013.0,11.0,17.0,0.0,9.1
2013.0,11.0,17.0,1.0,9.1
2013.0,11.0,17.0,2.0,9.1
2013.0,11.0,17.0,3.0,9.1
2013.0,11.0,17.0,4.0,8.1
2013.0,11.0,17.0,5.0,7.7
2013.0,11.0,17.0,6.0,7.4
2013.0,11.0,17.0,7.0,7.5
2013.0,11.0,17.0,8.0,7.2
2013.0,11.0,17.0,9.0,8.2
2013.0,11.0,17.0,1.0,10.4
2013.0,11.0,17.0,1.0,12.5
2013.0,11.0,17.0,1.0,12.9
2013.0,11.0,17.0,1.0,13.2
2013.0,11.0,17.0,1.0,13.5
2013.0,11.0,17.0,1.0,13.7
2013.0,11.0,17.0,1.0,12.2
2013.0,11.0,17.0,1.0,11.1
2013.0,11.0,17.0,1.0,10.2
2013.0,11.0,17.0,1.0,9.8
2013.0,11.0,17.0,2.0,9.4
2013.0,11.0,17.0,2.0,9.2
2013.0,11.0,17.0,2.0,9.1
2013.0,11.0,17.0,2.0,9.1
2013.0,11.0,18.0,0.0,9.2
2013.0,11.0,18.0,1.0,9.2
2013.0,11.0,18.0,2.0,8.9
2013.0,11.0,18.0,3.0,9.0
2013.0,11.0,18.0,4.0,9.0
2013.0,11.0,18.0,5.0,8.9
2013.0,11.0,18.0,6.0,9.1
2013.0,11.0,18.0,7.0,9.3
2013.0,11.0,18.0,8.0,9.4
2013.0,11.0,18.0,9.0,9.6
2013.0,11.0,18.0,1.0,10.1
2013.0,11.0,18.0,1.0,10.6
2013.0,11.0,18.0,1.0,10.7
2013.0,11.0,18.0,1.0,10.4
2013.0,11.0,18.0,1.0,9.8
2013.0,11.0,18.0,1.0,9.4
2013.0,11.0,18.0,1.0,9.4
2013.0,11.0,18.0,1.0,9.5
2013.0,11.0,18.0,1.0,9.5
2013.0,11.0,18.0,1.0,9.4
2013.0,11.0,18.0,2.0,9.7
2013.0,11.0,18.0,2.0,9.7
2013.0,11.0,18.0,2.0,9.8
2013.0,11.0,18.0,2.0,10.0
2013.0,11.0,19.0,0.0,10.1
2013.0,11.0,19.0,1.0,10.1
2013.0,11.0,19.0,2.0,10.0
2013.0,11.0,19.0,3.0,10.0
2013.0,11.0,19.0,4.0,10.2
2013.0,11.0,19.0,5.0,10.0
2013.0,11.0,19.0,6.0,9.9
2013.0,11.0,19.0,7.0,10.1
2013.0,11.0,19.0,8.0,10.1
2013.0,11.0,19.0,9.0,10.0
2013.0,11.0,19.0,1.0,10.0
2013.0,11.0,19.0,1.0,10.1
2013.0,11.0,19.0,1.0,10.3
2013.0,11.0,19.0,1.0,10.4
2013.0,11.0,19.0,1.0,10.6
2013.0,11.0,19.0,1.0,10.7
2013.0,11.0,19.0,1.0,10.9
2013.0,11.0,19.0,1.0,10.9
2013.0,11.0,19.0,1.0,10.6
2013.0,11.0,19.0,1.0,10.2
2013.0,11.0,19.0,2.0,10.4
2013.0,11.0,19.0,2.0,10.5
2013.0,11.0,19.0,2.0,10.6
2013.0,11.0,19.0,2.0,10.6
2013.0,11.0,20.0,0.0,10.6
2013.0,11.0,20.0,1.0,10.5
2013.0,11.0,20.0,2.0,10.4
2013.0,11.0,20.0,3.0,9.9
2013.0,11.0,20.0,4.0,9.6
2013.0,11.0,20.0,5.0,9.9
2013.0,11.0,20.0,6.0,9.9
2013.0,11.0,20.0,7.0,9.9
2013.0,11.0,20.0,8.0,9.7
2013.0,11.0,20.0,9.0,9.9
2013.0,11.0,20.0,1.0,10.3
2013.0,11.0,20.0,1.0,11.3
2013.0,11.0,20.0,1.0,12.1
2013.0,11.0,20.0,1.0,12.9
2013.0,11.0,20.0,1.0,12.0
2013.0,11.0,20.0,1.0,11.3
2013.0,11.0,20.0,1.0,10.7
2013.0,11.0,20.0,1.0,9.6
